Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
2.993961,6,Tick,0,0,0,0,141100,140600,0,0,0
3.286224,0,Tick,0,20,-20,20,141100,140600,-282,6282,662
3.286224,1,Tick,0,0,0,0,141100,140600,0,0,0
3.286224,2,Tick,0,0,0,0,141100,140600,0,0,0
3.286224,3,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574
3.286224,4,Tick,0,0,0,0,141100,140600,0,0,0
3.286224,5,Tick,0,10,-10,0,141100,140600,281,1404719,-4091
3.286224,6,Tick,0,0,0,0,141100,140600,0,0,0
3.479143,0,Tick,0,30,-30,30,140600,140600,-1,7001,7001
3.479143,1,Tick,0,0,0,0,140600,140600,0,0,0
3.479143,2,Tick,0,0,0,0,140600,140600,0,0,0
3.479143,3,Tick,17,20,-3,0,140600,140600,-520,423020,1220
3.479143,4,Tick,0,0,0,0,140600,140600,0,0,0
3.479143,5,Tick,0,10,-10,0,140600,140600,281,1404719,-1281
3.479143,6,Tick,0,0,0,0,140600,140600,0,0,0
3.776389,0,Tick,0,30,-30,30,140600,140600,-1,7001,7001
3.776389,1,Tick,0,0,0,0,140600,140600,0,0,0
3.776389,2,Tick,0,0,0,0,140600,140600,0,0,0
3.776389,3,Tick,17,20,-3,0,140600,140600,-520,423020,1220
3.776389,4,Tick,0,0,0,0,140600,140600,0,0,0
3.776389,5,Tick,0,10,-10,0,140600,140600,281,1404719,-1281
3.776389,6,Tick,0,0,0,0,140600,140600,0,0,0
3.975454,0,Tick,0,30,-30,30,140600,140600,-1,7001,7001
3.975454,1,Tick,0,0,0,0,140600,140600,0,0,0
3.975454,2,Tick,0,2,-2,0,140600,140600,-28,281228,28
3.975454,3,Tick,19,20,-1,0,140600,140600,-464,141764,1164
3.975454,4,Tick,0,0,0,0,140600,140600,0,0,0
3.975454,5,Tick,0,10,-10,0,140600,140600,281,1404719,-1281
3.975454,6,Tick,0,0,0,0,140600,140600,0,0,0
4.297997,0,Tick,0,50,-50,50,141200,140600,-283,12283,-1767
4.297997,1,Tick,0,0,0,0,141200,140600,0,0,0
4.297997,2,Tick,0,2,-2,0,141200,140600,-28,281228,-534
4.297997,3,Tick,19,30,-11,0,141200,140600,-605,1548905,-786
4.297997,4,Tick,0,0,0,0,141200,140600,0,0,0
4.297997,5,Tick,0,10,-10,0,141200,140600,281,1404719,-4091
4.297997,6,Tick,0,0,0,0,141200,140600,0,0,0
4.483695,0,Tick,0,50,-50,50,141200,140600,-283,12283,-1767
4.483695,1,Tick,0,0,0,0,141200,140600,0,0,0
4.483695,2,Tick,0,2,-2,0,141200,140600,-28,281228,-534
4.483695,3,Tick,19,30,-11,0,141200,140600,-605,1548905,-786
4.483695,4,Tick,0,0,0,0,141200,140600,0,0,0
4.483695,5,Tick,0,10,-10,0,141200,140600,281,1404719,-4091
4.483695,6,Tick,0,0,0,0,141200,140600,0,0,0
4.736421,0,Tick,0,60,-60,60,140600,140500,-2,13002,7002
4.736421,1,Tick,0,0,0,0,140600,140500,0,0,0
4.736421,2,Tick,0,2,-2,0,140600,140500,-28,281228,28
4.736421,3,Tick,29,30,-1,0,140600,140500,-746,143046,2446
4.736421,4,Tick,0,0,0,0,140600,140500,0,0,0
4.736421,5,Tick,0,10,-10,0,140600,140500,281,1404719,-1281
4.736421,6,Tick,0,0,0,0,140600,140500,0,0,0
5.050028,0,Tick,0,60,-60,60,140200,140400,-2,13002,25002
5.050028,1,Tick,0,0,0,0,140200,140400,0,0,0
5.050028,2,Tick,2,2,0,0,140200,140400,-56,856,856
5.050028,3,Tick,39,30,9,0,140200,140400,-886,-1261814,-14
5.050028,4,Tick,36,0,36,-36,140200,140400,-505,11305,4105
5.050028,5,Tick,0,10,-10,0,140200,140400,281,1404719,2719
5.050028,6,Tick,0,0,0,0,140200,140400,0,0,0
5.242429,0,Tick,0,60,-60,60,140200,140400,-2,13002,25002
5.242429,1,Tick,0,0,0,0,140200,140400,0,0,0
5.242429,2,Tick,2,2,0,0,140200,140400,-56,856,856
5.242429,3,Tick,39,30,9,0,140200,140400,-886,-1261814,-14
5.242429,4,Tick,36,0,36,-36,140200,140400,-505,11305,4105
5.242429,5,Tick,0,10,-10,0,140200,140400,281,1404719,2719
5.242429,6,Tick,0,0,0,0,140200,140400,0,0,0
5.456643,0,Tick,0,60,-60,60,140200,140400,-2,13002,25002
5.456643,1,Tick,0,0,0,0,140200,140400,0,0,0
5.456643,2,Tick,2,2,0,0,140200,140400,-56,856,856
5.456643,3,Tick,39,30,9,0,140200,140400,-886,-1261814,-14
5.456643,4,Tick,39,0,39,-39,140200,140400,-547,11347,3547
5.456643,5,Tick,0,10,-10,0,140200,140400,281,1404719,2719
5.456643,6,Tick,0,0,0,0,140200,140400,0,0,0
5.765009,0,Tick,0,60,-60,60,140600,140400,-2,13002,1002
5.765009,1,Tick,0,0,0,0,140600,140400,0,0,0
5.765009,2,Tick,2,2,0,0,140600,140400,-56,856,856
5.765009,3,Tick,39,40,-1,0,140600,140400,-1026,142326,1726
5.765009,4,Tick,39,0,39,-39,140600,140400,-547,11347,19147
5.765009,5,Tick,0,20,-20,0,140600,140400,562,2810438,-1562
5.765009,6,Tick,0,0,0,0,140600,140400,0,0,0
6.001344,0,Tick,0,75,-75,75,140600,140400,420,15580,580
6.001344,1,Tick,0,0,0,0,140600,140400,0,0,0
6.001344,2,Tick,2,2,0,0,140600,140400,-56,856,856
6.001344,3,Tick,39,50,-11,0,140600,140400,-745,1548045,1445
6.001344,4,Tick,39,0,39,-39,140600,140400,-547,11347,19147
6.001344,5,Tick,0,30,-30,0,140600,140400,843,4216157,-1843
6.001344,6,Tick,0,0,0,0,140600,140400,0,0,0
6.142583,0,Breach,0,105,-105,75,140700,140400,-3,4238003,-3502,
6.204052,0,Disconnect,0,105,-105,75,140900,140400,-3,4238003,-3502,
6.224423,0,Tick,0,105,-105,75,140900,140400,-3,4238003,-3502,BREACH
6.224423,1,Tick,0,0,0,0,140900,140400,0,0,0
6.224423,2,Tick,2,2,0,0,140900,140400,-56,856,856
6.224423,3,Tick,39,60,-21,0,140900,140400,-886,2954186,-115
6.224423,4,Tick,39,0,39,-39,140900,140400,-547,11347,22306
6.224423,5,Tick,10,30,-20,0,140900,140400,1124,2809876,-3744
6.224423,6,Tick,0,0,0,0,140900,140400,0,0,0
6.462166,0,Tick,0,105,-105,75,140600,140400,-3,4238003,5003,BREACH
6.462166,1,Tick,0,0,0,0,140600,140400,0,0,0
6.462166,2,Tick,2,2,0,0,140600,140400,-56,856,856
6.462166,3,Tick,49,60,-11,0,140600,140400,-1027,1548327,1727
6.462166,4,Tick,39,0,39,-39,140600,140400,-547,11347,19147
6.462166,5,Tick,10,40,-30,0,140600,140400,1405,4215595,-2405
6.462166,6,Tick,0,0,0,0,140600,140400,0,0,0
6.738528,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
6.738528,1,Tick,0,0,0,0,140700,140400,0,0,0
6.738528,2,Tick,2,2,0,0,140700,140400,-56,856,856
6.738528,3,Tick,49,70,-21,0,140700,140400,-1168,2955468,1167
6.738528,4,Tick,39,0,39,-39,140700,140400,-547,11347,22306
6.738528,5,Tick,20,40,-20,0,140700,140400,1686,2808314,-5306
6.738528,6,Tick,0,0,0,0,140700,140400,0,0,0
6.962215,0,Tick,0,105,-105,75,140600,140400,-3,4238003,5003,BREACH
6.962215,1,Tick,0,0,0,0,140600,140400,0,0,0
6.962215,2,Tick,4,2,2,0,140600,140400,-84,-280316,884
6.962215,3,Tick,59,70,-11,0,140600,140400,-1309,1549609,3009
6.962215,4,Tick,39,0,39,-39,140600,140400,-547,11347,19147
6.962215,5,Tick,20,40,-20,0,140600,140400,1686,2808314,-3686
6.962215,6,Tick,0,0,0,0,140600,140400,0,0,0
7.272163,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
7.272163,1,Tick,0,0,0,0,140300,140400,0,0,0
7.272163,2,Tick,4,2,2,0,140300,140400,-84,-280316,284
7.272163,3,Tick,69,70,-1,0,140300,140400,-1028,146328,6028
7.272163,4,Tick,39,0,39,-39,140300,140400,-547,11347,7447
7.272163,5,Tick,30,40,-10,0,140300,140400,1967,1405033,2033
7.272163,6,Tick,0,0,0,0,140300,140400,0,0,0
7.493014,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
7.493014,1,Tick,0,0,0,0,140300,140400,0,0,0
7.493014,2,Tick,4,4,0,0,140300,140400,-112,112,112
7.493014,3,Tick,79,70,9,0,140300,140400,-748,-1256752,5948
7.493014,4,Tick,39,0,39,-39,140300,140400,-547,11347,7447
7.493014,5,Tick,34,40,-6,0,140300,140400,2079,843721,1921
7.493014,6,Tick,0,0,0,0,140300,140400,0,0,0
7.722624,0,Tick,0,105,-105,75,139800,140400,-3,4238003,55508,BREACH
7.722624,1,Tick,0,0,0,0,139800,140400,0,0,0
7.722624,2,Tick,6,6,0,0,139800,140400,-168,768,768
7.722624,3,Tick,89,70,19,0,139800,140400,-804,-2659296,2965
7.722624,4,Tick,70,10,60,-60,139800,140400,-1120,27420,10560
7.722624,5,Tick,44,40,4,0,139800,140400,2360,-560560,-84
7.722624,6,Tick,0,0,0,0,139800,140400,0,0,0
7.988868,0,Tick,0,105,-105,75,139900,140400,-3,4238003,55508,BREACH
7.988868,1,Tick,0,0,0,0,139900,140400,0,0,0
7.988868,2,Tick,6,6,0,0,139900,140400,-168,768,768
7.988868,3,Tick,99,70,29,0,139900,140400,-524,-4058576,4875
7.988868,4,Tick,70,10,60,-60,139900,140400,-1120,27420,10560
7.988868,5,Tick,54,40,14,0,139900,140400,2640,-1959840,1826
7.988868,6,Tick,0,0,0,0,139900,140400,0,0,0
8.258116,0,Tick,0,105,-105,75,139900,140400,-3,4238003,55508,BREACH
8.258116,1,Tick,0,0,0,0,139900,140400,0,0,0
8.258116,2,Tick,6,6,0,0,139900,140400,-168,768,768
8.258116,3,Tick,109,70,39,0,139900,140400,-244,-5457856,6785
8.258116,4,Tick,70,10,60,-60,139900,140400,-1120,27420,10560
8.258116,5,Tick,64,40,24,0,139900,140400,2920,-3359120,3736
8.258116,6,Tick,0,0,0,0,139900,140400,0,0,0
8.456369,0,Tick,0,105,-105,75,140100,140400,-3,4238003,55508,BREACH
8.456369,1,Tick,0,0,0,0,140100,140400,0,0,0
8.456369,2,Tick,6,6,0,0,140100,140400,-168,768,768
8.456369,3,Tick,119,74,45,0,140100,140400,-20,-6296680,8675
8.456369,4,Tick,70,10,60,-60,140100,140400,-1120,27420,10560
8.456369,5,Tick,74,40,34,0,140100,140400,3200,-4759200,4846
8.456369,6,Tick,0,0,0,0,140100,140400,0,0,0
8.791929,0,Tick,0,105,-105,75,140000,140400,-3,4238003,55508,BREACH
8.791929,1,Tick,0,0,0,0,140000,140400,0,0,0
8.791929,2,Tick,6,6,0,0,140000,140400,-168,768,768
8.791929,3,Tick,119,84,35,0,140000,140400,-160,-4896540,7625
8.791929,4,Tick,70,10,60,-60,140000,140400,-1120,27420,10560
8.791929,5,Tick,84,40,44,0,140000,140400,3480,-6159480,5756
8.791929,6,Tick,0,0,0,0,140000,140400,0,0,0
8.991136,0,Tick,0,105,-105,75,140000,140400,-3,4238003,55508,BREACH
8.991136,1,Tick,0,0,0,0,140000,140400,0,0,0
8.991136,2,Tick,6,6,0,0,140000,140400,-168,768,768
8.991136,3,Tick,129,84,45,0,140000,140400,-300,-6296400,8955
8.991136,4,Tick,70,10,60,-60,140000,140400,-1120,27420,10560
8.991136,5,Tick,84,50,34,0,140000,140400,3760,-4759760,4286
8.991136,6,Tick,0,0,0,0,140000,140400,0,0,0
9.27347,0,Tick,0,105,-105,75,140000,140400,-3,4238003,55508,BREACH
9.27347,1,Tick,0,0,0,0,140000,140400,0,0,0
9.27347,2,Tick,6,6,0,0,140000,140400,-168,768,768
9.27347,3,Tick,129,94,35,0,140000,140400,-440,-4896260,7905
9.27347,4,Tick,70,10,60,-60,140000,140400,-1120,27420,10560
9.27347,5,Tick,94,50,44,0,140000,140400,4040,-6160040,5196
9.27347,6,Tick,0,0,0,0,140000,140400,0,0,0
9.471942,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
9.471942,1,Tick,0,0,0,0,140300,140400,0,0,0
9.471942,2,Tick,6,8,-2,0,140300,140400,-112,281312,712
9.471942,3,Tick,129,104,25,0,140300,140400,-159,-3493541,13959
9.471942,4,Tick,70,10,60,-60,140300,140400,-1120,27420,21420
9.471942,5,Tick,94,60,34,0,140300,140400,4321,-4757321,12879
9.471942,6,Tick,0,0,0,0,140300,140400,0,0,0
9.720034,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
9.720034,1,Tick,0,0,0,0,140300,140400,0,0,0
9.720034,2,Tick,6,8,-2,0,140300,140400,-112,281312,712
9.720034,3,Tick,129,114,15,0,140300,140400,122,-2090822,13678
9.720034,4,Tick,70,10,60,-60,140300,140400,-1120,27420,21420
9.720034,5,Tick,94,70,24,0,140300,140400,4602,-3354602,12598
9.720034,6,Tick,0,0,0,0,140300,140400,0,0,0
10.045467,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
10.045467,1,Tick,0,0,0,0,140300,140400,0,0,0
10.045467,2,Tick,6,8,-2,0,140300,140400,-112,281312,712
10.045467,3,Tick,129,114,15,0,140300,140400,122,-2090822,13678
10.045467,4,Tick,70,10,60,-60,140300,140400,-1120,27420,21420
10.045467,5,Tick,94,70,24,0,140300,140400,4602,-3354602,12598
10.045467,6,Tick,0,0,0,0,140300,140400,0,0,0
10.226724,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
10.226724,1,Tick,0,0,0,0,140300,140400,0,0,0
10.226724,2,Tick,6,8,-2,0,140300,140400,-112,281312,712
10.226724,3,Tick,129,114,15,0,140300,140400,122,-2090822,13678
10.226724,4,Tick,70,10,60,-60,140300,140400,-1120,27420,21420
10.226724,5,Tick,94,70,24,0,140300,140400,4602,-3354602,12598
10.226724,6,Tick,0,0,0,0,140300,140400,0,0,0
10.509881,0,Tick,0,105,-105,75,140400,140500,-3,4238003,33503,BREACH
10.509881,1,Tick,0,0,0,0,140400,140500,0,0,0
10.509881,2,Tick,6,8,-2,0,140400,140500,-112,281312,512
10.509881,3,Tick,129,124,5,0,140400,140500,-18,-686682,15318
10.509881,4,Tick,70,10,60,-60,140400,140500,-1120,27420,21420
10.509881,5,Tick,94,80,14,0,140400,140500,4883,-1951883,13717
10.509881,6,Tick,0,0,0,0,140400,140500,0,0,0
10.784026,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
10.784026,1,Tick,0,0,0,0,140900,140500,0,0,0
10.784026,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
10.784026,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
10.784026,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
10.784026,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
10.784026,6,Tick,0,0,0,0,140900,140500,0,0,0
11.047961,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
11.047961,1,Tick,0,0,0,0,140900,140500,0,0,0
11.047961,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
11.047961,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
11.047961,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
11.047961,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
11.047961,6,Tick,0,0,0,0,140900,140500,0,0,0
11.226175,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
11.226175,1,Tick,0,0,0,0,140900,140500,0,0,0
11.226175,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
11.226175,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
11.226175,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
11.226175,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
11.226175,6,Tick,0,0,0,0,140900,140500,0,0,0
11.547637,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
11.547637,1,Tick,0,0,0,0,140900,140500,0,0,0
11.547637,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
11.547637,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
11.547637,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
11.547637,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
11.547637,6,Tick,0,0,0,0,140900,140500,0,0,0
11.742107,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
11.742107,1,Tick,0,0,0,0,140900,140500,0,0,0
11.742107,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
11.742107,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
11.742107,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
11.742107,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
11.742107,6,Tick,0,0,0,0,140900,140500,0,0,0
11.958976,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
11.958976,1,Tick,0,0,0,0,140900,140500,0,0,0
11.958976,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
11.958976,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
11.958976,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
11.958976,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
11.958976,6,Tick,0,0,0,0,140900,140500,0,0,0
12.240411,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
12.240411,1,Tick,0,0,0,0,140900,140500,0,0,0
12.240411,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
12.240411,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
12.240411,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
12.240411,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
12.240411,6,Tick,0,0,0,0,140900,140500,0,0,0
12.542506,0,Tick,0,105,-105,75,140900,140500,-3,4238003,-6502,BREACH
12.542506,1,Tick,0,0,0,0,140900,140500,0,0,0
12.542506,2,Tick,6,8,-2,0,140900,140500,-112,281312,-250
12.542506,3,Tick,129,134,-5,0,140900,140500,264,722036,18131
12.542506,4,Tick,70,10,60,-60,140900,140500,-1120,27420,44280
12.542506,5,Tick,94,90,4,0,140900,140500,5165,-543165,19959
12.542506,6,Tick,0,0,0,0,140900,140500,0,0,0
12.701836,0,Tick,0,105,-105,75,140000,140500,-3,4238003,52508,BREACH
12.701836,1,Tick,0,0,0,0,140000,140500,0,0,0
12.701836,2,Tick,6,8,-2,0,140000,140500,-112,281312,874
12.701836,3,Tick,139,144,-5,0,140000,140500,-17,724317,23222
12.701836,4,Tick,70,10,60,-60,140000,140500,-1120,27420,10560
12.701836,5,Tick,94,90,4,0,140000,140500,5165,-543165,17711
12.701836,6,Tick,0,0,0,0,140000,140500,0,0,0
12.953203,0,Tick,0,105,-105,75,140600,140500,-3,4238003,12503,BREACH
12.953203,1,Tick,0,0,0,0,140600,140500,0,0,0
12.953203,2,Tick,6,8,-2,0,140600,140500,-112,281312,112
12.953203,3,Tick,149,144,5,0,140600,140500,-158,-681542,21458
12.953203,4,Tick,70,10,60,-60,140600,140500,-1120,27420,33420
12.953203,5,Tick,94,100,-6,0,140600,140500,5446,862554,18954
12.953203,6,Tick,0,0,0,0,140600,140500,0,0,0
13.22018,0,Tick,0,105,-105,75,140600,140500,-3,4238003,12503,BREACH
13.22018,1,Tick,0,0,0,0,140600,140500,0,0,0
13.22018,2,Tick,6,8,-2,0,140600,140500,-112,281312,112
13.22018,3,Tick,159,144,15,0,140600,140500,123,-2087823,21177
13.22018,4,Tick,70,30,40,-40,140600,140500,-1402,23702,27702
13.22018,5,Tick,104,100,4,0,140600,140500,5727,-543727,18673
13.22018,6,Tick,0,0,0,0,140600,140500,0,0,0
13.456078,0,Tick,0,105,-105,75,140400,140500,-3,4238003,33503,BREACH
13.456078,1,Tick,0,0,0,0,140400,140500,0,0,0
13.456078,2,Tick,6,12,-6,0,140400,140500,-84,843084,684
13.456078,3,Tick,161,144,17,0,140400,140500,95,-2368595,18205
13.456078,4,Tick,70,30,40,-40,140400,140500,-1402,23702,19702
13.456078,5,Tick,106,100,6,0,140400,140500,5783,-824783,17617
13.456078,6,Tick,0,0,0,0,140400,140500,0,0,0
13.743185,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
13.743185,1,Tick,0,0,0,0,140700,140400,0,0,0
13.743185,2,Tick,8,12,-4,0,140700,140400,-112,562912,188
13.743185,3,Tick,169,154,15,0,140700,140400,-158,-2085542,24673
13.743185,4,Tick,90,66,24,-24,140700,140400,-2189,39689,46433
13.743185,5,Tick,106,100,6,0,140700,140400,5783,-824783,19303
13.743185,6,Tick,0,0,0,0,140700,140400,0,0,0
14.008634,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
14.008634,1,Tick,0,0,0,0,140700,140400,0,0,0
14.008634,2,Tick,8,12,-4,0,140700,140400,-112,562912,188
14.008634,3,Tick,169,154,15,0,140700,140400,-158,-2085542,24673
14.008634,4,Tick,90,66,24,-24,140700,140400,-2189,39689,46433
14.008634,5,Tick,106,100,6,0,140700,140400,5783,-824783,19303
14.008634,6,Tick,0,0,0,0,140700,140400,0,0,0
14.226314,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
14.226314,1,Tick,0,0,0,0,140700,140400,0,0,0
14.226314,2,Tick,8,12,-4,0,140700,140400,-112,562912,188
14.226314,3,Tick,169,154,15,0,140700,140400,-158,-2085542,24673
14.226314,4,Tick,90,66,24,-24,140700,140400,-2189,39689,46433
14.226314,5,Tick,106,100,6,0,140700,140400,5783,-824783,19303
14.226314,6,Tick,0,0,0,0,140700,140400,0,0,0
14.533415,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
14.533415,1,Tick,0,0,0,0,140700,140400,0,0,0
14.533415,2,Tick,8,12,-4,0,140700,140400,-112,562912,188
14.533415,3,Tick,169,154,15,0,140700,140400,-158,-2085542,24673
14.533415,4,Tick,90,66,24,-24,140700,140400,-2189,39689,46433
14.533415,5,Tick,106,100,6,0,140700,140400,5783,-824783,19303
14.533415,6,Tick,0,0,0,0,140700,140400,0,0,0
14.776686,0,Tick,0,105,-105,75,140700,140400,-3,4238003,-3502,BREACH
14.776686,1,Tick,0,0,0,0,140700,140400,0,0,0
14.776686,2,Tick,8,12,-4,0,140700,140400,-112,562912,188
14.776686,3,Tick,169,154,15,0,140700,140400,-158,-2085542,24673
14.776686,4,Tick,90,66,24,-24,140700,140400,-2189,39689,46433
14.776686,5,Tick,106,100,6,0,140700,140400,5783,-824783,19303
14.776686,6,Tick,0,0,0,0,140700,140400,0,0,0
14.954439,0,Tick,0,105,-105,75,140600,140400,-3,4238003,5003,BREACH
14.954439,1,Tick,0,0,0,0,140600,140400,0,0,0
14.954439,2,Tick,8,12,-4,0,140600,140400,-112,562912,512
14.954439,3,Tick,169,164,5,0,140600,140400,-298,-680402,22598
14.954439,4,Tick,90,89,1,-1,140600,140400,-2512,37712,37912
14.954439,5,Tick,106,100,6,0,140600,140400,5783,-824783,18817
14.954439,6,Tick,0,0,0,0,140600,140400,0,0,0
15.253243,0,Tick,0,105,-105,75,140400,140400,-3,4238003,26003,BREACH
15.253243,1,Tick,0,0,0,0,140400,140400,0,0,0
15.253243,2,Tick,8,12,-4,0,140400,140400,-112,562912,1312
15.253243,3,Tick,179,164,15,0,140400,140400,-17,-2084683,21317
15.253243,4,Tick,90,89,1,-1,140400,140400,-2512,37712,37712
15.253243,5,Tick,116,100,16,0,140400,140400,6064,-2229064,17336
15.253243,6,Tick,0,0,0,0,140400,140400,0,0,0
15.48059,0,Tick,0,105,-105,75,140400,140400,-3,4238003,26003,BREACH
15.48059,1,Tick,0,0,0,0,140400,140400,0,0,0
15.48059,2,Tick,8,12,-4,0,140400,140400,-112,562912,1312
15.48059,3,Tick,179,164,15,0,140400,140400,-17,-2084683,21317
15.48059,4,Tick,90,89,1,-1,140400,140400,-2512,37712,37712
15.48059,5,Tick,116,100,16,0,140400,140400,6064,-2229064,17336
15.48059,6,Tick,0,0,0,0,140400,140400,0,0,0
15.712697,0,Tick,0,105,-105,75,140400,140400,-3,4238003,26003,BREACH
15.712697,1,Tick,0,0,0,0,140400,140400,0,0,0
15.712697,2,Tick,8,12,-4,0,140400,140400,-112,562912,1312
15.712697,3,Tick,179,164,15,0,140400,140400,-17,-2084683,21317
15.712697,4,Tick,90,89,1,-1,140400,140400,-2512,37712,37712
15.712697,5,Tick,116,100,16,0,140400,140400,6064,-2229064,17336
15.712697,6,Tick,0,0,0,0,140400,140400,0,0,0
16.010416,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
16.010416,1,Tick,0,0,0,0,140300,140400,0,0,0
16.010416,2,Tick,8,12,-4,0,140300,140400,-112,562912,1712
16.010416,3,Tick,179,164,15,0,140300,140400,-17,-2084683,19817
16.010416,4,Tick,109,89,20,-20,140300,140400,-2779,37979,35979
16.010416,5,Tick,116,100,16,0,140300,140400,6064,-2229064,15736
16.010416,6,Tick,0,0,0,0,140300,140400,0,0,0
16.259803,0,Tick,0,105,-105,75,140300,140400,-3,4238003,36503,BREACH
